institution_country_1,institution_name_1,couple_1,couple_2,institution_name_2,institution_country_2,sum_paper
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60105231,"Universitas Pendidikan Ganesha, Bali, Indonesia",Indonesia,16
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60011362,"RMIT University, GPO Box 2476V, Melbourne, Vic, Australia, 3001",Australia,15
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60069394,"Lembaga Ilmu Pengetahuan Indonesia, Jakarta, Java, Indonesia",Indonesia,15
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,100840220,"International Technological University, FPC Consultancy, Los Altos Hills, Sunnyvale, CA, United States, 94085",United States,14
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,114186060,"STKO Lab, Santa Barbara, CA, United States, 93106-0001",United States,14
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,103330213,"Department of Electrical, Private Bag 92019, Auckland, AUK, New Zealand, 1142",New Zealand,14
United States,"International Technological University, FPC Consultancy, Los Altos Hills, Sunnyvale, CA, United States, 94085",100840220,106597813,"Department of Business Development and Technology, Nordre Ringgade 1, Aarhus, Denmark, 8000",Denmark,14
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,119050053,"STMIK Primakara Denpasar, Indonesia",Indonesia,14
Indonesia,"Bina Nusantara University, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",60103610,113905063,"Information System and Technology, Jl. Tamansari 64, Bandung, West Java, Indonesia, 40116",Indonesia,13
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,123372835,"Faculty of Information Technology, Menara YARSI, Kav. 13, Jl. Let. Jend. Suprapto. Cempaka Putih, Central Jakarta, Jakarta, Indonesia, 10510",Indonesia,13
