couple_1,couple_2,sum_paper
60013609,114027201,5
60024997,60082102,2
60024997,60020760,4
60024997,104475822,1
60024997,114027201,1
60022134,120246201,1
60022134,103097537,1
60022134,103268808,1
60022134,120368546,1
60022134,100840220,1
60022134,106597813,1
60022134,60072181,1
120246201,103097537,1
120246201,103268808,1
120246201,120368546,1
103097537,103268808,1
103097537,120368546,1
103268808,120368546,1
120368546,103936965,1
120368546,112247832,1
60082102,60020760,4
60082102,104475822,1
60082102,114027201,1
60020760,104475822,2
60020760,114027201,2
114337572,113774541,1
114337572,122404310,1
113774541,122404310,1
103936965,112247832,1
103936965,113611320,2
103936965,119235936,2
113611320,119235936,1
119235936,60018353,2
123347777,60011604,2
123347777,119804192,1
123347777,60072186,2
60011604,119804192,2
60011604,60072186,4
119804192,60072186,2
116665254,117018344,1
116665254,121970638,1
60026553,123209774,1
119523243,104757763,2
104757763,112627945,1
104757763,114942382,1
103597531,60014256,5
103597531,114046242,2
121841273,113902597,3
121841273,116696974,2
121841273,112965775,1
121841273,104608856,2
121841273,60019702,2
113902597,116696974,2
113902597,112965775,1
116696974,112965775,2
113835661,110264360,2
113905066,60069378,1
113905066,60008408,1
113905066,112605579,3
113870693,121244510,1
113870693,60087598,1
113870693,121703489,1
113870693,123076911,1
118325631,60069407,1
113121345,104757253,2
113121345,111197494,1
113121345,60027272,1
113121345,117868694,1
113121345,60019702,1
104757253,113529656,1
104757253,60105182,1
60069378,60008408,1
60069378,112605579,2
60069378,60105082,1
60069378,119050053,1
60069378,101550304,2
60069378,122754820,2
60069378,104757299,1
60069378,60004969,1
60069378,116114142,1
111197494,104608856,1
111197494,60027272,1
111197494,60019702,1
111197494,104757401,2
114673009,122983881,3
114673009,112136414,3
122983881,112136414,3
112136414,108778323,2
123079305,60104399,1
123079305,122434007,1
108253171,60069385,1
103330213,105843273,2
103330213,119050004,1
103330213,60025272,1
103330213,119050053,1
60070441,60008408,7
60070441,112605579,1
60069385,113869978,1
60069385,100336132,1
60069385,112681850,2
60069394,118186130,1
60069394,123078119,3
60069394,123297803,1
121244510,60087598,1
105843273,119050004,2
105843273,60025272,1
105843273,60105082,1
105843273,119050053,1
105843273,110595146,1
119050004,60105082,1
119050004,119050053,1
119050004,110595146,1
118146086,111045551,1
103690177,60013141,3
