id_scopus,h_index,indexed_name,given_name,surname,full_name,current_affiliation_id,affil_name,affil_address,affil_city,affil_state,affil_country,affil_postal_code,dosen_fasilkom,sum_paper,lower_full_name
57203279661,0,Achda A.C.,Adriyan Chairul,Achda,Adriyan Chairul Achda,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,1,adriyan chairul achda
24768359400,6,Muschevici R.,Radu,Muschevici,Radu Muschevici,60011226,Technische Universität Darmstadt,Karolinenplatz 5,Darmstadt,Hessen,Germany,64289,no,5,radu muschevici
57193693925,1,Mauliadi R.,Reza,Mauliadi,Reza Mauliadi,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,3,reza mauliadi
57200656560,1,Naily M.A.,Moh Afifun,Naily,Moh Afifun Naily,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,1,moh afifun naily
57193827905,0,Triando,undefined,Triando,undefined Triando,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,1,undefined triando
6701714849,21,Hähnle R.,Reiner,Hähnle,Reiner Hähnle,60011226,Technische Universität Darmstadt,Karolinenplatz 5,Darmstadt,Hessen,Germany,64289,no,1,reiner hähnle
56576402900,1,Tenoyo B.,Bayu,Tenoyo,Bayu Tenoyo,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,3,bayu tenoyo
57205972690,5,Wibowo A.,Adi,Wibowo,Adi Wibowo,113922700,Department of Informatics,,Semarang,Central Java,Indonesia,,no,14,adi wibowo
55905717300,1,Abdurrahman S.K.,S. K.,Abdurrahman,S. K. Abdurrahman,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,1,s k abdurrahman
36037263500,58,Fukuda T.,Toshino,Fukuda,Toshino Fukuda,112270602,Department of Mechanical Engineering,1-501 Shiogamaguchi,Nagoya,Aichi,Japan,468-8502,no,23,toshino fukuda
7005646496,18,Sekiyama K.,Kousuke,Sekiyama,Kousuke Sekiyama,103051948,Department of Micro-Nano Mechanical Science and Engineering,"Furo-cho, Chikusa-ku",Nagoya,Aichi,Japan,464-8601,no,20,kousuke sekiyama
36987586100,1,Marihot H.,H.,Marihot,H. Marihot,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,1,h marihot
36987733700,1,Wicaksana M.,M.,Wicaksana,M. Wicaksana,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,1,m wicaksana
6602213998,4,Takagawa I.,Isao,Takagawa,Isao Takagawa,103051699,Department of Micro-Nano Systems Engineering,"Furo-cho, Chikusa-ku",Nagoya,Aichi,Japan,464-8601,no,2,isao takagawa
8980537400,6,Prasetya I.S.W.B.,I. S.Wishnu B.,Prasetya,I. S.Wishnu B. Prasetya,60007989,Utrecht University,"Bestuursgebouw, Heidelberglaan 8",Utrecht,Utrecht,Netherlands,3584 CS,no,2,i s wishnu b prasetya
8980537100,12,Vos T.E.J.,Tanja E.J.,Vos,Tanja E.J. Vos,60011476,Universitat Politècnica de València,Camino de Vera,Valencia,Valencia,Spain,46022,no,2,tanja e j vos
56231744500,2,van Leeuwen A.,Arthur J.,van Leeuwen,Arthur J. van Leeuwen,103441118,Department of Information and Computing Sciences,"Bestuursgebouw, Heidelberglaan 8",Utrecht,Utrecht,Netherlands,3584 CS,no,1,arthur j van leeuwen
55667111400,14,Swierstra S.D.,S. Doaitse,Swierstra,S. Doaitse Swierstra,105458996,Department of Computer Science,"Bestuursgebouw, Heidelberglaan 8",Utrecht,Utrecht,Netherlands,3584 CS,no,1,s doaitse swierstra
57204431698,0,Saputri M.S.,Mei Silviana,Saputri,Mei Silviana Saputri,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,2,mei silviana saputri
57204417142,0,Faisal T.A.,Teuku Amrullah,Faisal,Teuku Amrullah Faisal,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,1,teuku amrullah faisal
57204434458,0,Utama A.W.,Alvin Wardhana,Utama,Alvin Wardhana Utama,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,1,alvin wardhana utama
57193141477,0,Ariefa M.A.M.,Muhammad Azmi Malik,Ariefa,Muhammad Azmi Malik Ariefa,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,1,muhammad azmi malik ariefa
57204432757,0,Ramadhani A.,Andre,Ramadhani,Andre Ramadhani,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,1,andre ramadhani
57204420550,0,Muda A.,Aminur,Muda,Aminur Muda,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,1,aminur muda
57202129866,0,Handayani T.U.,Tami Utiwi,Handayani,Tami Utiwi Handayani,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,1,tami utiwi handayani
57207308823,0,Pratama H.A.,Hafiz Adhiyasa,Pratama,Hafiz Adhiyasa Pratama,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,1,hafiz adhiyasa pratama
57205062769,1,Al-Ash H.S.,Herley Shaori,Al-Ash,Herley Shaori Al-Ash,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,2,herley shaori al ash
57197732226,3,Shimizu C.,Cogan,Shimizu,Cogan Shimizu,60018306,Wright State University,3640 Colonel Glenn Hwy,Dayton,OH,United States,45435-0001,no,1,cogan shimizu
57203407861,0,Eberhart A.,Aaron,Eberhart,Aaron Eberhart,114748149,Data Semantics (DaSe) Laboratory,3640 Colonel Glenn Hwy,Dayton,OH,United States,45435-0001,no,1,aaron eberhart
56413035400,3,Karima N.,Nazifa,Karima,Nazifa Karima,114748149,Data Semantics (DaSe) Laboratory,3640 Colonel Glenn Hwy,Dayton,OH,United States,45435-0001,no,6,nazifa karima
57203409198,0,Hirt Q.,Quinn,Hirt,Quinn Hirt,114748149,Data Semantics (DaSe) Laboratory,3640 Colonel Glenn Hwy,Dayton,OH,United States,45435-0001,no,1,quinn hirt
8876646400,32,Hitzler P.,Pascal,Hitzler,Pascal Hitzler,114748149,Data Semantics (DaSe) Laboratory,3640 Colonel Glenn Hwy,Dayton,OH,United States,45435-0001,no,36,pascal hitzler
57200213020,1,Wulandari I.A.,Ika Arthalia,Wulandari,Ika Arthalia Wulandari,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,7,ika arthalia wulandari
57200217166,1,Akmaliah I.F.,Izzah Fadhilah,Akmaliah,Izzah Fadhilah Akmaliah,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,5,izzah fadhilah akmaliah
55514008400,3,Rahayu P.,Puji,Rahayu,Puji Rahayu,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,14,puji rahayu
57204435956,0,Adiyoso W.,Widiarto,Adiyoso,Widiarto Adiyoso,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,1,widiarto adiyoso
57188977443,1,Purbarani S.C.,Sumarsih Condroayu,Purbarani,Sumarsih Condroayu Purbarani,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,7,sumarsih condroayu purbarani
57204421633,0,Saraswati A.D.,Anindhita Dwi,Saraswati,Anindhita Dwi Saraswati,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,1,anindhita dwi saraswati
57204417633,0,Putri A.F.R.,Annissa Fildzah Rafi,Putri,Annissa Fildzah Rafi Putri,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,1,annissa fildzah rafi putri
57204343112,1,Anwar S.R.C.,Syaiful Reyneta Carissa,Anwar,Syaiful Reyneta Carissa Anwar,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,2,syaiful reyneta carissa anwar
56318688900,2,Zhou L.,Lu,Zhou,Lu Zhou,60018306,Wright State University,3640 Colonel Glenn Hwy,Dayton,OH,United States,45435-0001,no,1,lu zhou
13806682500,9,Cheatham M.,Michelle,Cheatham,Michelle Cheatham,60018306,Wright State University,3640 Colonel Glenn Hwy,Dayton,OH,United States,45435-0001,no,12,michelle cheatham
13610913700,30,Janowicz K.,Krzysztof,Janowicz,Krzysztof Janowicz,114186060,STKO Lab,,Santa Barbara,CA,United States,93106-0001,no,13,krzysztof janowicz
36499648500,4,Hammar K.,Karl,Hammar,Karl Hammar,113868064,Department of Computer and Information Science,,Linkoping,Östergötland,Sweden,581 83,no,1,karl hammar
55920281500,8,Ławrynowicz A.,Agnieszka,Ławrynowicz,Agnieszka Ławrynowicz,112824287,Department of Computer Science,pl. Marii Skodowskiej-Curie 5,Poznan,WP,Poland,60-965,no,1,agnieszka ławrynowicz
42862074000,13,Nuzzolese A.G.,Andrea Giovanni,Nuzzolese,Andrea Giovanni Nuzzolese,107857354,STLab,Via S. Martino della Battaglia 44,Rome,RM,Italy,185,no,1,andrea giovanni nuzzolese
16550808400,9,Solanki M.,Monika,Solanki,Monika Solanki,113659408,Department of Computer Science,"University Offices, Wellington Square",Oxford,Oxfordshire,United Kingdom,OX1 2JD,no,2,monika solanki
57191668076,3,Sarker M.K.,Md Kamruzzaman,Sarker,Md Kamruzzaman Sarker,60018306,Wright State University,3640 Colonel Glenn Hwy,Dayton,OH,United States,45435-0001,no,3,md kamruzzaman sarker
55813191900,6,Carral D.,David,Carral,David Carral,122698746,Knowledge-Based Systems Group,Nöthnitzer Strasse 43,Dresden,Sachsen,Germany,1187,no,5,david carral
6506219996,8,Vardeman C.F.,Charles F.,Vardeman,Charles F. Vardeman,104100909,Center for Research Computing,,Notre Dame,IN,United States,,no,6,charles f vardeman
56443561000,3,Ferguson H.,Holly T.,Ferguson,Holly T. Ferguson,60021508,University of Notre Dame,,Notre Dame,IN,United States,,no,3,holly t ferguson
54583134800,3,Buccellato A.P.C.,Aimee P.C.,Buccellato,Aimee P.C. Buccellato,104100824,School of Architecture,,Notre Dame,IN,United States,,no,2,aimee p c buccellato
8968017800,13,Blomqvist E.,Eva,Blomqvist,Eva Blomqvist,60009358,Linköpings universitet,,Linkoping,Östergötland,Sweden,581 83,no,1,eva blomqvist
6504641182,7,Narock T.,Tom,Narock,Tom Narock,60003038,Notre Dame of Maryland University,4701 North Charles Street,Baltimore,MD,United States,21210,no,5,tom narock
35204031900,6,Rodriguez-Doncel V.,Víctor,Rodríguez-Doncel,Víctor Rodríguez-Doncel,60028442,Universidad Politécnica de Madrid,"Avda. Ramiro de Maeztu, 7",Madrid,Madrid,Spain,28040,no,2,víctor rodríguez doncel
56982672500,2,Amini R.,Reihaneh,Amini,Reihaneh Amini,114748149,Data Semantics (DaSe) Laboratory,3640 Colonel Glenn Hwy,Dayton,OH,United States,45435-0001,no,2,reihaneh amini
57002403900,1,Coleman A.,Ashley,Coleman,Ashley Coleman,114748149,Data Semantics (DaSe) Laboratory,3640 Colonel Glenn Hwy,Dayton,OH,United States,45435-0001,no,1,ashley coleman
57187582800,4,Yan B.,Bo,Yan,Bo Yan,114186060,STKO Lab,,Santa Barbara,CA,United States,93106-0001,no,1,bo yan
56442825900,7,Hu Y.,Yingjie,Hu,Yingjie Hu,100261271,Department of Geography,,Knoxville,TN,United States,,no,5,yingjie hu
8652033100,8,Kuczenski B.,Brandon,Kuczenski,Brandon Kuczenski,104476028,Institute for Social,,Santa Barbara,CA,United States,93106-0001,no,2,brandon kuczenski
36116605600,12,Ballatore A.,Andrea,Ballatore,Andrea Ballatore,103496990,Department of Geography,"Malet Street, Bloomsbury",London,,United Kingdom,WC1E 7HX,no,1,andrea ballatore
57002202900,3,Ju Y.,Yiting,Ju,Yiting Ju,113854098,Department of Geography,,Santa Barbara,CA,United States,93106-0001,no,2,yiting ju
7201479719,40,Suh S.,Sangwon,Suh,Sangwon Suh,104476024,Bren School of Environmental Science and Management,,Santa Barbara,CA,United States,93106-0001,no,2,sangwon suh
15052044800,16,Ingwersen W.,Wesley,Ingwersen,Wesley Ingwersen,60004505,US EPA National Risk Management Research Laboratory,26 Martin Luther King Drive,Cincinnati,OH,United States,45268,no,2,wesley ingwersen
55496905200,6,Dallmeier-Tiessen S.,Sünje,Dallmeier-Tiessen,Sünje Dallmeier-Tiessen,60019778,European Organization for Nuclear Research,,Geneva,GE,Switzerland,1211,no,1,sünje dallmeier tiessen
55866504500,2,Herterich P.,Patricia,Herterich,Patricia Herterich,60000762,Humboldt-Universität zu Berlin,Unter den Linden 6,Berlin,,Germany,10099,no,1,patricia herterich
35227399700,103,Hildreth M.D.,Michael D.,Hildreth,Michael D. Hildreth,60021508,University of Notre Dame,,Notre Dame,IN,United States,,no,1,michael d hildreth
6505817089,91,Lassila-Perini K.,Kati,Lassila-Perini,Kati Lassila-Perini,60030168,Helsinki Institute of Physics,Gustaf Hallstromin katu 2,Helsinki,,Finland,14,no,1,kati lassila perini
15835503600,90,Sexton-Kennedy E.,Elizabeth,Sexton-Kennedy,Elizabeth Sexton-Kennedy,60013881,Fermi National Accelerator Laboratory,Kirk Road and Pine Street,Batavia,IL,United States,60510-5011,no,1,elizabeth sexton kennedy
35228201700,87,Watts G.,Gordon,Watts,Gordon Watts,60015481,"University of Washington, Seattle",Odegaard Library 022 Odegaard,Seattle,WA,United States,98195-5502,no,1,gordon watts
